Config	Applicaiton	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
cache_dram83_remap1l	radix	0.0545588	0.0	1375649.0	2115.0	0.4	0.4	40084674.0	40084674
cache_dram83_remap1l	raytrace	0.0481267	0.0	14554679.0	12690.0	0.605	0.61	309829219.0	309829219
cache_dram83_remap1l	water.nsq	0.0869702	0.0	4286327.0	4117.0	1.0125	1.05	463965682.0	463965682
cache_dram83_remap1l	water.sp	0.0387757	0.0	2876359.0	2048.0	1.0975	1.19	178901196.0	178901196
cache_dram84_no-remap	barnes	0.0357607	4538.0	7144765.0	0.0	0.56	0.57	607990283.0	607990283
cache_dram84_no-remap	cholesky	0.0333319	4698.0	10455607.0	0.0	1.4225	1.53	56183055.0	56183055
cache_dram84_no-remap	fft	0.0337308	38219.0	37312395.0	0.0	1.41	1.41	152415955.0	152415955
cache_dram84_no-remap	fmm	0.109078	21846.0	10348493.0	0.0	1.495	1.51	314412903.0	314412903
cache_dram84_no-remap	lu.cont	0.0325093	1736.0	11978570.0	0.0	1.21	1.24	215096572.0	215096572
cache_dram84_no-remap	lu.ncont	0.0321569	11344.0	21128093.0	0.0	1.025	1.05	255846710.0	255846710
cache_dram84_no-remap	radix	0.0543041	1633.0	1373788.0	0.0	0.4	0.4	39930006.0	39930006
cache_dram84_no-remap	raytrace	0.0467489	3313.0	14524359.0	0.0	0.65	0.66	287965406.0	287965406
cache_dram84_no-remap	water.nsq	0.080727	10269.0	4271103.0	0.0	1.08	1.12	435236682.0	435236682
cache_dram84_no-remap	water.sp	0.0382849	10797.0	2866986.0	0.0	1.1875	1.29	165120296.0	165120296
cache_dram84_remap0	barnes	0.0376283	0.0	7138886.0	12434.0	0.56	0.57	606175045.0	606175045
cache_dram84_remap0	cholesky	0.0343616	0.0	10463310.0	8548.0	1.4125	1.52	56399758.0	56399758
cache_dram84_remap0	fft	0.035268	0.0	37318666.0	23295.0	1.4	1.4	153766953.0	153766953
cache_dram84_remap0	fmm	0.115211	0.0	10333974.0	264469.0	1.5	1.51	312927763.0	312927763
cache_dram84_remap0	lu.cont	0.0327455	0.0	11978526.0	10508.0	1.21	1.24	215162362.0	215162362
cache_dram84_remap0	lu.ncont	0.032971	0.0	21081628.0	35533.0	1.02	1.04	257161686.0	257161686
cache_dram84_remap0	radix	0.0554259	0.0	1373576.0	2116.0	0.4	0.4	39936099.0	39936099
cache_dram84_remap0	raytrace	0.048482	0.0	14421136.0	35218.0	0.65	0.66	287626877.0	287626877
cache_dram84_remap0	water.nsq	0.121272	0.0	4221500.0	297428.0	1.07	1.11	438460614.0	438460614
cache_dram84_remap0	water.sp	0.0534005	0.0	2852157.0	116787.0	1.1775	1.28	166536296.0	166536296
cache_dram84_remap1g	barnes	0.0372144	0.0	7137122.0	12472.0	0.56	0.57	609521128.0	609521128
cache_dram84_remap1g	cholesky	0.0334563	0.0	10457837.0	8529.0	1.4125	1.52	56466255.0	56466255
cache_dram84_remap1g	fft	0.0342233	0.0	37350876.0	27292.0	1.41	1.41	153264853.0	153264853
cache_dram84_remap1g	fmm	0.117709	0.0	10357271.0	266397.0	1.4975	1.51	313379459.0	313379459
cache_dram84_remap1g	lu.cont	0.0325474	0.0	11984134.0	8428.0	1.21	1.24	215202241.0	215202241
cache_dram84_remap1g	lu.ncont	0.0328087	0.0	21110590.0	30925.0	1.0225	1.05	255975486.0	255975486
cache_dram84_remap1g	radix	0.0554279	0.0	1375315.0	2116.0	0.4	0.4	39950199.0	39950199
cache_dram84_remap1g	raytrace	0.0469976	0.0	14455295.0	39311.0	0.65	0.66	287254321.0	287254321
cache_dram84_remap1g	water.nsq	0.128363	0.0	4217699.0	397822.0	1.08	1.12	435391814.0	435391814
cache_dram84_remap1g	water.sp	0.0628645	0.0	2853214.0	149589.0	1.185	1.28	165536496.0	165536496
cache_dram84_remap1l	barnes	0.0375234	0.0	7142477.0	10427.0	0.56	0.57	608744045.0	608744045
cache_dram84_remap1l	cholesky	0.0335016	0.0	10469762.0	4400.0	1.41	1.51	56941255.0	56941255
cache_dram84_remap1l	fft	0.0345018	0.0	37350533.0	22912.0	1.43	1.43	151238453.0	151238453
cache_dram84_remap1l	fmm	0.11515	0.0	10357159.0	235233.0	1.4875	1.5	315378559.0	315378559
cache_dram84_remap1l	lu.cont	0.0325503	0.0	11986305.0	10520.0	1.2025	1.23	215612388.0	215612388
cache_dram84_remap1l	lu.ncont	0.0324905	0.0	21140183.0	29269.0	1.0225	1.05	256021629.0	256021629
cache_dram84_remap1l	radix	0.0554456	0.0	1373802.0	2115.0	0.4	0.4	39943281.0	39943281
