Applicaiton	Config	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
lu.ncont	cache_cpu103_remap0	0.216801	0.0	16449335.0	135432.0	1.5525	1.59	168805033.0	168805033
lu.ncont	cache_cpu103_remap1g	0.129509	0.0	19660732.0	135431.0	1.5725	1.61	166897586.0	166897586
lu.ncont	cache_cpu103_remap1l	0.180731	0.0	18005549.0	135226.0	1.56	1.6	168216258.0	168216258
lu.ncont	cache_cpu104_no-remap	0.0323512	4082132.0	17108752.0	0.0	1.65	1.69	158938829.0	158938829
lu.ncont	cache_cpu104_remap0	0.224963	0.0	16299966.0	135431.0	1.5575	1.59	168612330.0	168612330
lu.ncont	cache_cpu104_remap1g	0.13293	0.0	19569175.0	135432.0	1.58	1.62	166231983.0	166231983
lu.ncont	cache_cpu104_remap1l	0.187576	0.0	17715155.0	135245.0	1.5625	1.6	167758786.0	167758786
lu.ncont	cache_cpu105_no-remap	0.0318788	4198588.0	16998905.0	0.0	1.66	1.7	157949086.0	157949086
lu.ncont	cache_cpu105_remap0	0.23245	0.0	16154279.0	135430.0	1.57	1.61	167062430.0	167062430
lu.ncont	cache_cpu105_remap1g	0.129069	0.0	19540952.0	135433.0	1.5925	1.63	164687929.0	164687929
lu.ncont	cache_cpu105_remap1l	0.190918	0.0	17747951.0	135296.0	1.5775	1.61	166242686.0	166242686
radix	cache_no-dtm_no-remap	0.0542846	1443.0	1374401.0	0.0	0.4	0.4	39876172.0	39876172
radix	cache_no-dtm_remap0	0.055466	0.0	1373696.0	2114.0	0.4	0.4	39854175.0	39854175
radix	cache_no-dtm_remap1g	0.055187	0.0	1375076.0	2115.0	0.4	0.4	39846572.0	39846572
radix	cache_no-dtm_remap1l	0.0549382	0.0	1374529.0	2116.0	0.4	0.4	39859184.0	39859184
radix	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	0.38	0.38	42821686.0	42821686
radix	cache_cpu101_no-remap	0.054351	1427.0	1373584.0	0.0	0.4	0.4	39853986.0	39853986
radix	cache_cpu101_remap0	0.0553208	0.0	1372688.0	2116.0	0.4	0.4	39869978.0	39869978
radix	cache_cpu101_remap1g	0.0552269	0.0	1374459.0	2116.0	0.4	0.4	39871287.0	39871287
radix	cache_cpu101_remap1l	0.0550204	0.0	1376472.0	2116.0	0.4	0.4	39853291.0	39853291
radix	cache_cpu102_no-remap	0.0543741	1422.0	1374644.0	0.0	0.4	0.4	39874083.0	39874083
radix	cache_cpu102_remap0	0.0553208	0.0	1374608.0	2116.0	0.4	0.4	39853570.0	39853570
radix	cache_cpu102_remap1g	0.0552515	0.0	1375412.0	2116.0	0.4	0.4	39859199.0	39859199
radix	cache_cpu102_remap1l	0.0549749	0.0	1374472.0	2116.0	0.4	0.4	39831910.0	39831910
radix	cache_cpu103_no-remap	0.0542452	1331.0	1373260.0	0.0	0.4	0.4	39837890.0	39837890
radix	cache_cpu103_remap0	0.055379	0.0	1374537.0	2116.0	0.4	0.4	39839566.0	39839566
radix	cache_cpu103_remap1g	0.0551753	0.0	1375996.0	2114.0	0.4	0.4	39860496.0	39860496
radix	cache_cpu103_remap1l	0.0551873	0.0	1373990.0	2115.0	0.4	0.4	39866387.0	39866387
radix	cache_cpu104_no-remap	0.0544235	1425.0	1372553.0	0.0	0.4	0.4	39853496.0	39853496
radix	cache_cpu104_remap0	0.0554451	0.0	1373657.0	2116.0	0.4	0.4	39864091.0	39864091
radix	cache_cpu104_remap1g	0.0552295	0.0	1373985.0	2115.0	0.4	0.4	39848086.0	39848086
radix	cache_cpu104_remap1l	0.0550323	0.0	1374425.0	2116.0	0.4	0.4	39850574.0	39850574
radix	cache_cpu105_no-remap	0.0542595	1492.0	1372136.0	0.0	0.4	0.4	39852886.0	39852886
radix	cache_cpu105_remap0	0.0551016	0.0	1374527.0	2115.0	0.4	0.4	39866280.0	39866280
radix	cache_cpu105_remap1g	0.0551409	0.0	1374297.0	2116.0	0.4	0.4	39857174.0	39857174
radix	cache_cpu105_remap1l	0.0548426	0.0	1374876.0	2116.0	0.4	0.4	39868774.0	39868774
raytrace	cache_no-dtm_no-remap	0.0470279	1616012.0	12838323.0	0.0	0.8875	0.9	210234206.0	210234206
raytrace	cache_no-dtm_remap0	0.270073	0.0	12863334.0	155890.0	0.8475	0.86	220504458.0	220504458
raytrace	cache_no-dtm_remap1g	0.0990593	0.0	14445038.0	155892.0	0.8675	0.88	215495119.0	215495119
raytrace	cache_no-dtm_remap1l	0.189695	0.0	13782068.0	155750.0	0.8525	0.87	220145619.0	220145619
raytrace	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	0.7825	0.8	239109219.0	239109219
raytrace	cache_cpu101_no-remap	0.0476522	1362676.0	13087130.0	0.0	0.82	0.83	228430419.0	228430419
raytrace	cache_cpu101_remap0	0.248795	0.0	13092542.0	151000.0	0.795	0.81	236028958.0	236028958
raytrace	cache_cpu101_remap1g	0.0908039	0.0	14400090.0	151016.0	0.8075	0.82	232319558.0	232319558
raytrace	cache_cpu101_remap1l	0.168492	0.0	13721895.0	150879.0	0.8025	0.82	233028458.0	233028458
raytrace	cache_cpu102_no-remap	0.0468432	1582618.0	13002725.0	0.0	0.8275	0.84	226907558.0	226907558
raytrace	cache_cpu102_remap0	0.264822	0.0	12931303.0	157936.0	0.8175	0.83	229855158.0	229855158
raytrace	cache_cpu102_remap1g	0.0959424	0.0	14346359.0	153446.0	0.8275	0.84	226377819.0	226377819
raytrace	cache_cpu102_remap1l	0.187471	0.0	13632476.0	157841.0	0.8225	0.84	227865577.0	227865577
raytrace	cache_cpu103_no-remap	0.0467514	1586480.0	12928810.0	0.0	0.85	0.87	220307506.0	220307506
raytrace	cache_cpu103_remap0	0.268113	0.0	12891644.0	155882.0	0.83	0.84	224901158.0	224901158
raytrace	cache_cpu103_remap1g	0.097142	0.0	14384827.0	155897.0	0.8375	0.85	223997519.0	223997519
raytrace	cache_cpu103_remap1l	0.18834	0.0	13741985.0	155745.0	0.8325	0.85	225598877.0	225598877
raytrace	cache_cpu104_no-remap	0.0463171	1594599.0	12876345.0	0.0	0.8775	0.89	214106419.0	214106419
raytrace	cache_cpu104_remap0	0.269388	0.0	12912990.0	155895.0	0.8425	0.86	222673619.0	222673619
raytrace	cache_cpu104_remap1g	0.0995745	0.0	14378897.0	155889.0	0.8575	0.87	218331858.0	218331858
raytrace	cache_cpu104_remap1l	0.188772	0.0	13575337.0	155717.0	0.845	0.86	222052119.0	222052119
raytrace	cache_cpu105_no-remap	0.0473344	1665635.0	12968212.0	0.0	0.88	0.9	213708421.0	213708421
raytrace	cache_cpu105_remap0	0.27173	0.0	12919584.0	155885.0	0.85	0.87	221107558.0	221107558
raytrace	cache_cpu105_remap1g	0.0965884	0.0	14413966.0	155891.0	0.86	0.87	217790806.0	217790806
raytrace	cache_cpu105_remap1l	0.187966	0.0	13609556.0	155637.0	0.86	0.87	217554858.0	217554858
water.nsq	cache_no-dtm_no-remap	0.0804843	743316.0	3538024.0	0.0	1.6025	1.66	292954282.0	292954282
water.nsq	cache_no-dtm_remap0	0.331704	0.0	3440410.0	516546.0	1.59	1.65	295703614.0	295703614
water.nsq	cache_no-dtm_remap1g	0.439089	0.0	3831272.0	510373.0	1.575	1.63	298163714.0	298163714
water.nsq	cache_no-dtm_remap1l	0.356086	0.0	3647633.0	460940.0	1.59	1.65	295883969.0	295883969
water.nsq	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	1.5625	1.62	300647869.0	300647869
water.nsq	cache_cpu101_no-remap	0.0809591	454461.0	3840589.0	0.0	1.2875	1.33	365062082.0	365062082
water.nsq	cache_cpu101_remap0	0.254557	0.0	3760001.0	510277.0	1.28	1.33	367267337.0	367267337
water.nsq	cache_cpu101_remap1g	0.346443	0.0	3945437.0	514367.0	1.28	1.33	367140914.0	367140914
water.nsq	cache_cpu101_remap1l	0.288502	0.0	3868096.0	510144.0	1.28	1.33	367611969.0	367611969
water.nsq	cache_cpu102_no-remap	0.0807425	479030.0	3801053.0	0.0	1.305	1.35	359752569.0	359752569
water.nsq	cache_cpu102_remap0	0.261376	0.0	3745944.0	506161.0	1.3	1.35	361306169.0	361306169
water.nsq	cache_cpu102_remap1g	0.355441	0.0	3922926.0	508193.0	1.3	1.35	362272445.0	362272445
water.nsq	cache_cpu102_remap1l	0.289554	0.0	3869134.0	503996.0	1.3025	1.35	360635682.0	360635682
water.nsq	cache_cpu103_no-remap	0.0804602	508264.0	3772667.0	0.0	1.3225	1.37	355625369.0	355625369
water.nsq	cache_cpu103_remap0	0.261242	0.0	3723956.0	504076.0	1.3125	1.36	357536269.0	357536269
water.nsq	cache_cpu103_remap1g	0.370318	0.0	3909421.0	506134.0	1.3075	1.35	359704582.0	359704582
water.nsq	cache_cpu103_remap1l	0.291721	0.0	3859609.0	504008.0	1.3125	1.36	357690714.0	357690714
water.nsq	cache_cpu104_no-remap	0.0816422	524528.0	3759754.0	0.0	1.33	1.38	353161869.0	353161869
water.nsq	cache_cpu104_remap0	0.263507	0.0	3714419.0	502022.0	1.33	1.38	354015169.0	354015169
water.nsq	cache_cpu104_remap1g	0.364181	0.0	3909878.0	504068.0	1.3225	1.37	355384214.0	355384214
water.nsq	cache_cpu104_remap1l	0.299616	0.0	3859317.0	495752.0	1.3225	1.37	354855869.0	354855869
water.nsq	cache_cpu105_no-remap	0.0805415	540426.0	3740295.0	0.0	1.3525	1.4	347587082.0	347587082
water.nsq	cache_cpu105_remap0	0.266306	0.0	3702794.0	493782.0	1.35	1.4	348174769.0	348174769
water.nsq	cache_cpu105_remap1g	0.377032	0.0	3891228.0	491707.0	1.35	1.4	348365514.0	348365514
water.nsq	cache_cpu105_remap1l	0.311105	0.0	3816885.0	491666.0	1.35	1.4	348168469.0	348168469
water.sp	cache_no-dtm_no-remap	0.0382012	529340.0	2346073.0	0.0	1.735	1.88	113061096.0	113061096
water.sp	cache_no-dtm_remap0	0.235576	0.0	2336677.0	199122.0	1.69	1.83	115846996.0	115846996
water.sp	cache_no-dtm_remap1g	0.23155	0.0	2703609.0	182667.0	1.68	1.82	116517496.0	116517496
water.sp	cache_no-dtm_remap1l	0.221218	0.0	2514868.0	188833.0	1.69	1.83	115996196.0	115996196
water.sp	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	1.55	1.68	126596996.0	126596996
